stream,gpt-6-luna/tide_a,gpt-6-luna/tide_b,gpt-6-luna/bicycle,gpt-6-sol/tide_a,gpt-6-sol/tide_b,gpt-6-sol/bicycle,gpt-6-astra/tide_a,gpt-6-astra/tide_b,gpt-6-astra/bicycle,claude-fable-5-1/tide_a,claude-fable-5-1/tide_b,claude-fable-5-1/bicycle,claude-opus-5-5/tide_a,claude-opus-5-5/tide_b,claude-opus-5-5/bicycle
gpt-6-luna/tide_a,1.0,,,0.39232161,0.39004606,0.3470926,0.24543764,0.22379228,0.18194865,0.23578987,0.20414868,0.20102813,,,
gpt-6-luna/tide_b,,,,,,,,,,,,,,,
gpt-6-luna/bicycle,,,,,,,,,,,,,,,
gpt-6-sol/tide_a,0.39232161,,,1.0,0.48694968,0.29132081,0.22036598,0.23837425,0.19561132,0.2220158,0.18581409,0.19283566,,,
gpt-6-sol/tide_b,0.39004606,,,0.48694968,1.0,0.3474187,0.21944582,0.26742559,0.22045946,0.2398602,0.19701253,0.19405969,,,
gpt-6-sol/bicycle,0.3470926,,,0.29132081,0.3474187,1.0,0.189475,0.20919468,0.24522661,0.16321626,0.13117826,0.2183255,,,
gpt-6-astra/tide_a,0.24543764,,,0.22036598,0.21944582,0.189475,1.0,0.18682885,0.15571936,0.19405245,0.16548292,0.13397646,,,
gpt-6-astra/tide_b,0.22379228,,,0.23837425,0.26742559,0.20919468,0.18682885,1.0,0.15975308,0.16582356,0.1224966,0.16959068,,,
gpt-6-astra/bicycle,0.18194865,,,0.19561132,0.22045946,0.24522661,0.15571936,0.15975308,1.0,0.11851771,0.10042218,0.15083176,,,
claude-fable-5-1/tide_a,0.23578987,,,0.2220158,0.2398602,0.16321626,0.19405245,0.16582356,0.11851771,1.0,0.27601968,0.18172001,,,
claude-fable-5-1/tide_b,0.20414868,,,0.18581409,0.19701253,0.13117826,0.16548292,0.1224966,0.10042218,0.27601968,1.0,0.16494209,,,
claude-fable-5-1/bicycle,0.20102813,,,0.19283566,0.19405969,0.2183255,0.13397646,0.16959068,0.15083176,0.18172001,0.16494209,1.0,,,
claude-opus-5-5/tide_a,,,,,,,,,,,,,,,
claude-opus-5-5/tide_b,,,,,,,,,,,,,,,
claude-opus-5-5/bicycle,,,,,,,,,,,,,,,
