stream,primary/gpt-6-luna/sunset_a,primary/gpt-6-luna/sunset_b,primary/gpt-6-luna/tide,primary/gpt-6-sol/sunset_a,replacement/gpt-6-sol/sunset_replacement,primary/gpt-6-sol/tide,primary/gpt-6-astra/sunset_a,primary/gpt-6-astra/sunset_b,primary/gpt-6-astra/tide,primary/claude-fable-5-1/sunset_a,primary/claude-fable-5-1/sunset_b,primary/claude-fable-5-1/tide,primary/claude-opus-5-5/sunset_a,primary/claude-opus-5-5/sunset_b,primary/claude-opus-5-5/tide
primary/gpt-6-luna/sunset_a,1.0,0.31596132,,0.28699424,0.26312521,0.25889493,0.34602391,0.28494491,0.34675984,0.27379699,0.27085572,0.29665624,0.31936417,0.3343843,0.34507132
primary/gpt-6-luna/sunset_b,0.31596132,1.0,,0.21734893,0.36928199,0.387689,0.21656194,0.21587252,0.26014842,0.28168689,0.23806724,0.26987452,0.29020223,0.2725202,0.22655056
primary/gpt-6-luna/tide,,,,,,,,,,,,,,,
primary/gpt-6-sol/sunset_a,0.28699424,0.21734893,,1.0,0.21396494,0.19735036,0.28699651,0.26406916,0.30888541,0.21403754,0.26622171,0.24485935,0.20113875,0.17163498,0.25435544
replacement/gpt-6-sol/sunset_replacement,0.26312521,0.36928199,,0.21396494,1.0,0.37627446,0.25716918,0.26060666,0.30945538,0.22445911,0.28077931,0.29954979,0.25106134,0.1830716,0.25815098
primary/gpt-6-sol/tide,0.25889493,0.387689,,0.19735036,0.37627446,1.0,0.23878506,0.28313472,0.30689576,0.23761751,0.23023725,0.28129762,0.24506116,0.19241933,0.2417442
primary/gpt-6-astra/sunset_a,0.34602391,0.21656194,,0.28699651,0.25716918,0.23878506,1.0,0.59951887,0.52158093,0.28165661,0.39092716,0.34823098,0.2411992,0.20836576,0.3056518
primary/gpt-6-astra/sunset_b,0.28494491,0.21587252,,0.26406916,0.26060666,0.28313472,0.59951887,1.0,0.55897254,0.25552802,0.3721529,0.34839612,0.23542235,0.19281425,0.31817818
primary/gpt-6-astra/tide,0.34675984,0.26014842,,0.30888541,0.30945538,0.30689576,0.52158093,0.55897254,1.0,0.33823985,0.45180311,0.44373789,0.30579438,0.24761652,0.37190506
primary/claude-fable-5-1/sunset_a,0.27379699,0.28168689,,0.21403754,0.22445911,0.23761751,0.28165661,0.25552802,0.33823985,1.0,0.40911094,0.45415828,0.32381291,0.26096163,0.27429367
primary/claude-fable-5-1/sunset_b,0.27085572,0.23806724,,0.26622171,0.28077931,0.23023725,0.39092716,0.3721529,0.45180311,0.40911094,1.0,0.51473163,0.31735919,0.24266368,0.36003148
primary/claude-fable-5-1/tide,0.29665624,0.26987452,,0.24485935,0.29954979,0.28129762,0.34823098,0.34839612,0.44373789,0.45415828,0.51473163,1.0,0.36849047,0.26923903,0.39431983
primary/claude-opus-5-5/sunset_a,0.31936417,0.29020223,,0.20113875,0.25106134,0.24506116,0.2411992,0.23542235,0.30579438,0.32381291,0.31735919,0.36849047,1.0,0.37290615,0.27824267
primary/claude-opus-5-5/sunset_b,0.3343843,0.2725202,,0.17163498,0.1830716,0.19241933,0.20836576,0.19281425,0.24761652,0.26096163,0.24266368,0.26923903,0.37290615,1.0,0.26348685
primary/claude-opus-5-5/tide,0.34507132,0.22655056,,0.25435544,0.25815098,0.2417442,0.3056518,0.31817818,0.37190506,0.27429367,0.36003148,0.39431983,0.27824267,0.26348685,1.0
