stream,gpt-6-luna/sunset_a,gpt-6-luna/sunset_b,gpt-6-luna/tide,gpt-6-sol/sunset_a,gpt-6-sol/sunset_b,gpt-6-sol/tide,gpt-6-astra/sunset_a,gpt-6-astra/sunset_b,gpt-6-astra/tide,claude-fable-5-1/sunset_a,claude-fable-5-1/sunset_b,claude-fable-5-1/tide,claude-opus-5-5/sunset_a,claude-opus-5-5/sunset_b,claude-opus-5-5/tide
gpt-6-luna/sunset_a,1.0,0.31781509,,0.2891,0.2660891,0.26207425,0.34648247,0.28747262,0.34852098,0.27558244,0.27408066,0.2992175,0.32251561,0.33490442,0.34707948
gpt-6-luna/sunset_b,0.31781509,1.0,,0.21894033,0.28125105,0.38650476,0.21750086,0.21761708,0.26182437,0.28197965,0.24085591,0.27094438,0.29321781,0.27311853,0.22654827
gpt-6-luna/tide,,,,,,,,,,,,,,,
gpt-6-sol/sunset_a,0.2891,0.21894033,,1.0,0.20610898,0.19941609,0.29079213,0.26757433,0.31300293,0.21681075,0.26920935,0.24815678,0.20527055,0.17364814,0.25757765
gpt-6-sol/sunset_b,0.2660891,0.28125105,,0.20610898,1.0,0.57762588,0.26817815,0.29593896,0.32444082,0.17297269,0.23691201,0.24583888,0.1773791,0.149583,0.28714626
gpt-6-sol/tide,0.26207425,0.38650476,,0.19941609,0.57762588,1.0,0.23952392,0.28263596,0.30826526,0.23820037,0.23266691,0.28317148,0.24797781,0.19306946,0.24047677
gpt-6-astra/sunset_a,0.34648247,0.21750086,,0.29079213,0.26817815,0.23952392,1.0,0.59963069,0.52301628,0.28394602,0.39307326,0.34973194,0.24436542,0.20951893,0.30647632
gpt-6-astra/sunset_b,0.28747262,0.21761708,,0.26757433,0.29593896,0.28263596,0.59963069,1.0,0.5606709,0.25760421,0.37450294,0.35015022,0.23895582,0.19503961,0.31853205
gpt-6-astra/tide,0.34852098,0.26182437,,0.31300293,0.32444082,0.30826526,0.52301628,0.5606709,1.0,0.3401828,0.45402442,0.44538628,0.30947802,0.24902937,0.37122752
claude-fable-5-1/sunset_a,0.27558244,0.28197965,,0.21681075,0.17297269,0.23820037,0.28394602,0.25760421,0.3401828,1.0,0.41101181,0.45509735,0.32714331,0.2625786,0.27579377
claude-fable-5-1/sunset_b,0.27408066,0.24085591,,0.26920935,0.23691201,0.23266691,0.39307326,0.37450294,0.45402442,0.41101181,1.0,0.51815327,0.32265124,0.24566932,0.36348193
claude-fable-5-1/tide,0.2992175,0.27094438,,0.24815678,0.24583888,0.28317148,0.34973194,0.35015022,0.44538628,0.45509735,0.51815327,1.0,0.37235174,0.27133362,0.39630814
claude-opus-5-5/sunset_a,0.32251561,0.29321781,,0.20527055,0.1773791,0.24797781,0.24436542,0.23895582,0.30947802,0.32714331,0.32265124,0.37235174,1.0,0.37498003,0.28128592
claude-opus-5-5/sunset_b,0.33490442,0.27311853,,0.17364814,0.149583,0.19306946,0.20951893,0.19503961,0.24902937,0.2625786,0.24566932,0.27133362,0.37498003,1.0,0.26534758
claude-opus-5-5/tide,0.34707948,0.22654827,,0.25757765,0.28714626,0.24047677,0.30647632,0.31853205,0.37122752,0.27579377,0.36348193,0.39630814,0.28128592,0.26534758,1.0
