stream,gpt-6-luna/sunset_a,gpt-6-luna/sunset_b,gpt-6-luna/tide,gpt-6-sol/sunset_a,gpt-6-sol/sunset_b,gpt-6-sol/tide,gpt-6-astra/sunset_a,gpt-6-astra/sunset_b,gpt-6-astra/tide,claude-fable-5-1/sunset_a,claude-fable-5-1/sunset_b,claude-fable-5-1/tide,claude-opus-5-5/sunset_a,claude-opus-5-5/sunset_b,claude-opus-5-5/tide
gpt-6-luna/sunset_a,1.0,0.3247635,,0.29372538,0.26687834,0.26448843,0.34475526,0.29015973,0.35062611,0.28004429,0.2774645,0.30334178,,,
gpt-6-luna/sunset_b,0.3247635,1.0,,0.22809953,0.2802766,0.39320043,0.22388806,0.22618362,0.26932384,0.2934883,0.25057493,0.28110171,,,
gpt-6-luna/tide,,,,,,,,,,,,,,,
gpt-6-sol/sunset_a,0.29372538,0.22809953,,1.0,0.21316242,0.21104354,0.29886832,0.27688076,0.31960189,0.2237316,0.27792365,0.25470771,,,
gpt-6-sol/sunset_b,0.26687834,0.2802766,,0.21316242,1.0,0.55981236,0.27512957,0.30634941,0.33339594,0.17814649,0.24362107,0.25134422,,,
gpt-6-sol/tide,0.26448843,0.39320043,,0.21104354,0.55981236,1.0,0.24822163,0.29289768,0.31714558,0.25033034,0.24333234,0.29327708,,,
gpt-6-astra/sunset_a,0.34475526,0.22388806,,0.29886832,0.27512957,0.24822163,1.0,0.59818704,0.52243193,0.28636712,0.39587403,0.35272066,,,
gpt-6-astra/sunset_b,0.29015973,0.22618362,,0.27688076,0.30634941,0.29289768,0.59818704,1.0,0.56303913,0.26054269,0.37673534,0.35393776,,,
gpt-6-astra/tide,0.35062611,0.26932384,,0.31960189,0.33339594,0.31714558,0.52243193,0.56303913,1.0,0.3403854,0.45434857,0.44569486,,,
claude-fable-5-1/sunset_a,0.28004429,0.2934883,,0.2237316,0.17814649,0.25033034,0.28636712,0.26054269,0.3403854,1.0,0.41816027,0.45981273,,,
claude-fable-5-1/sunset_b,0.2774645,0.25057493,,0.27792365,0.24362107,0.24333234,0.39587403,0.37673534,0.45434857,0.41816027,1.0,0.52405521,,,
claude-fable-5-1/tide,0.30334178,0.28110171,,0.25470771,0.25134422,0.29327708,0.35272066,0.35393776,0.44569486,0.45981273,0.52405521,1.0,,,
claude-opus-5-5/sunset_a,,,,,,,,,,,,,,,
claude-opus-5-5/sunset_b,,,,,,,,,,,,,,,
claude-opus-5-5/tide,,,,,,,,,,,,,,,
