alias,operator,model,from_hop,to_hop,full_output_exact,full_output_normalized,extracted_text_exact,extracted_text_normalized
O02,previous,gpt-6-luna,15,16,True,True,True,True
O02,previous,gpt-6-luna,20,21,True,True,True,True
O02,previous,gpt-6-luna,31,32,True,True,True,True
O02,previous,gpt-6-luna,34,35,True,True,True,True
O02,previous,gpt-6-luna,39,40,True,True,True,True
O09,previous,gpt-6-sol,2,3,True,True,True,True
O09,previous,gpt-6-sol,5,6,True,True,True,True
O09,previous,gpt-6-sol,7,8,True,True,True,True
O09,previous,gpt-6-sol,8,9,True,True,True,True
O09,previous,gpt-6-sol,9,10,True,True,True,True
O09,previous,gpt-6-sol,10,11,True,True,True,True
O09,previous,gpt-6-sol,11,12,True,True,True,True
O09,previous,gpt-6-sol,12,13,True,True,True,True
O09,previous,gpt-6-sol,13,14,True,True,True,True
O09,previous,gpt-6-sol,14,15,True,True,True,True
O09,previous,gpt-6-sol,17,18,True,True,True,True
O09,previous,gpt-6-sol,18,19,True,True,True,True
O09,previous,gpt-6-sol,19,20,True,True,True,True
O09,previous,gpt-6-sol,20,21,True,True,True,True
O09,previous,gpt-6-sol,21,22,True,True,True,True
O09,previous,gpt-6-sol,22,23,True,True,True,True
O09,previous,gpt-6-sol,23,24,True,True,True,True
O09,previous,gpt-6-sol,24,25,True,True,True,True
O09,previous,gpt-6-sol,25,26,True,True,True,True
O09,previous,gpt-6-sol,26,27,True,True,True,True
O09,previous,gpt-6-sol,27,28,True,True,True,True
O09,previous,gpt-6-sol,28,29,True,True,True,True
O09,previous,gpt-6-sol,29,30,True,True,True,True
O09,previous,gpt-6-sol,30,31,True,True,True,True
O09,previous,gpt-6-sol,31,32,True,True,True,True
O09,previous,gpt-6-sol,32,33,True,True,True,True
O09,previous,gpt-6-sol,33,34,True,True,True,True
O09,previous,gpt-6-sol,34,35,True,True,True,True
O09,previous,gpt-6-sol,35,36,True,True,True,True
O09,previous,gpt-6-sol,36,37,True,True,True,True
O09,previous,gpt-6-sol,37,38,True,True,True,True
O09,previous,gpt-6-sol,38,39,True,True,True,True
O09,previous,gpt-6-sol,39,40,True,True,True,True
O16,previous,gpt-6-astra,2,3,True,True,True,True
O16,previous,gpt-6-astra,3,4,True,True,True,True
O16,previous,gpt-6-astra,5,6,True,True,True,True
O16,previous,gpt-6-astra,6,7,True,True,True,True
O16,previous,gpt-6-astra,7,8,True,True,True,True
O16,previous,gpt-6-astra,8,9,True,True,True,True
O16,previous,gpt-6-astra,9,10,True,True,True,True
O16,previous,gpt-6-astra,11,12,True,True,True,True
O16,previous,gpt-6-astra,12,13,True,True,True,True
O16,previous,gpt-6-astra,13,14,True,True,True,True
O16,previous,gpt-6-astra,14,15,True,True,True,True
O16,previous,gpt-6-astra,15,16,True,True,True,True
O16,previous,gpt-6-astra,18,19,True,True,True,True
O16,previous,gpt-6-astra,19,20,True,True,True,True
O16,previous,gpt-6-astra,20,21,True,True,True,True
O16,previous,gpt-6-astra,25,26,True,True,True,True
O16,previous,gpt-6-astra,26,27,True,True,True,True
O16,previous,gpt-6-astra,27,28,True,True,True,True
O16,previous,gpt-6-astra,28,29,True,True,True,True
O16,previous,gpt-6-astra,29,30,True,True,True,True
O16,previous,gpt-6-astra,30,31,True,True,True,True
O16,previous,gpt-6-astra,31,32,True,True,True,True
O16,previous,gpt-6-astra,32,33,True,True,True,True
O16,previous,gpt-6-astra,33,34,True,True,True,True
O16,previous,gpt-6-astra,34,35,True,True,True,True
O16,previous,gpt-6-astra,35,36,True,True,True,True
O16,previous,gpt-6-astra,36,37,True,True,True,True
O16,previous,gpt-6-astra,37,38,True,True,True,True
O16,previous,gpt-6-astra,38,39,True,True,True,True
O07,next,gpt-6-astra,4,5,True,True,True,True
O07,next,gpt-6-astra,5,6,True,True,True,True
O07,next,gpt-6-astra,6,7,True,True,True,True
O07,next,gpt-6-astra,7,8,True,True,True,True
O07,next,gpt-6-astra,8,9,True,True,True,True
O07,next,gpt-6-astra,9,10,True,True,True,True
O07,next,gpt-6-astra,10,11,True,True,True,True
O07,next,gpt-6-astra,11,12,True,True,True,True
O07,next,gpt-6-astra,12,13,True,True,True,True
O07,next,gpt-6-astra,13,14,True,True,True,True
O07,next,gpt-6-astra,21,22,True,True,True,True
O07,next,gpt-6-astra,31,32,True,True,True,True
O10,better,claude-fable-5-1,8,9,True,True,True,True
O10,better,claude-fable-5-1,38,39,True,True,True,True
